ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total Civiles y Combatientes	Total de Víctimas del Caso	Tipo de Armas	Tipo de Evento	Total Civiles y Combatientes Heridos	Latitud	Longitud
300136		1991	06	08	13670	SAN PABLO	BOLIVAR	MAGDALENA MEDIO	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	7.476720672	-73.92416855
300137		1991	06	03	13473	MORALES	BOLIVAR	MAGDALENA MEDIO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	8.276306771	-73.86814048
301729		1991	08	28	68689	SAN VICENTE DE CHUCURI	SANTANDER	MAGDALENA MEDIO	ATENTADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.880382935	-73.41102393
445088		1991	11	18	68689	SAN VICENTE DE CHUCURI	SANTANDER	MAGDALENA MEDIO	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	1	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.880382935	-73.41102393
445363		1991	01	18	68406	LEBRIJA	SANTANDER	PROVINCIA DE SOTO	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.113356081	-73.21955144
445364		1991	01	19	19455	MIRANDA	CAUCA	NORTE DEL CAUCA	SIN INFORMACIÓN	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	3.253095405	-76.22886987
445365		1991	02	10	68081	BARRANCABERMEJA	SANTANDER	MAGDALENA MEDIO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.064963864	-73.84995698
445366		1991	03	01	05893	YONDO	ANTIOQUIA	MAGDALENA MEDIO	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.003940734	-73.91245795
445367		1991	03	25	76233	DAGUA	VALLE DEL CAUCA	SUR DEL VALLE	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	3.657308485	-76.68887101
445369		1991	04	08	50150	CASTILLA LA NUEVA	META	PIEDEMONTE LLANERO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	3.828040352	-73.6881296
445370		1991	04	13	68689	SAN VICENTE DE CHUCURI	SANTANDER	MAGDALENA MEDIO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.880382935	-73.41102393
445371		1991	05	15	18753	SAN VICENTE DEL CAGUAN	CAQUETA	CAGUAN	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	2.119786131	-74.76734058
445372		1991	05	30	15244	EL COCUY	BOYACA	ALTIPLANO CUNDIBOYACENSE	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.407716232	-72.44472932
445373		1991	06	03	70230	CHALAN	SUCRE	MONTES DE MARIA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	9.545351624	-75.31269631
445374		1991	06	03	70230	CHALAN	SUCRE	MONTES DE MARIA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	9.545351624	-75.31269631
