ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Forma de Vinculación	Tipo de Vinculación	Latitud	Longitud
316761		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316762		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316763		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316764		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316765		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316766		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316767		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316768		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316769		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
316770		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	PERSUASIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	6.246715564	-75.58171333
